,Accuracy,Shot fired,Hits,Deaths,DMG_Get
215,8.6,1204,103,29,263
586,18.2,1174,214,22,235
858,16.9,3242,549,57,444
983,25.9,2595,673,58,596
172,17.2,1062,183,10,171
154,18.5,1068,198,27,253
171,18.5,1600,296,23,261
860,22.3,2485,553,82,523
91,15.3,1475,225,38,308
715,25.0,2319,580,45,459
261,10.3,2523,259,42,347
853,10.9,2819,307,39,395
695,15.3,4068,621,23,301
305,14.8,3136,464,43,525
688,12.2,2702,330,21,288
494,12.6,1661,210,32,342
808,21.6,1822,394,31,344
8,22.7,1446,328,34,344
415,11.4,622,71,32,239
103,18.2,3352,611,50,504
813,12.3,3007,371,43,407
950,9.1,1314,119,21,210
837,13.1,738,97,20,130
262,14.4,1715,247,49,427
60,19.0,1101,209,45,315
35,15.2,3990,607,25,281
183,16.6,1935,321,34,307
433,18.9,1605,303,27,258
871,14.3,3343,479,42,427
286,9.9,755,75,14,119
764,13.6,2472,337,28,295
594,15.6,3814,596,48,477
354,7.2,1022,74,25,234
207,5.3,862,46,32,252
788,8.7,1660,144,16,182
705,21.6,1400,302,20,157
652,14.2,3809,539,54,482
799,6.7,1235,83,42,259
590,13.2,1232,163,49,394
47,16.2,1170,189,31,284
943,13.0,1088,141,27,249
761,14.4,2022,292,52,445
751,14.6,4165,608,97,810
935,10.5,296,31,19,149
908,19.4,2626,510,36,357
281,19.8,921,182,17,183
555,15.8,1906,302,58,496
357,3.8,877,33,28,260
323,8.6,1298,112,29,226
537,14.1,5534,778,21,360
72,19.4,1656,321,36,402
741,15.5,1695,263,60,535
359,10.0,4213,421,19,234
791,7.0,1897,132,15,182
529,17.8,3561,634,29,411
737,15.3,3865,591,62,545
789,17.4,585,102,14,164
408,15.4,1845,284,53,387
782,11.7,614,72,25,166
279,13.6,697,95,43,248
313,15.4,2132,328,31,267
539,16.4,2224,365,31,380
383,20.2,1814,367,34,288
828,12.8,1747,223,49,337
186,16.2,1391,225,46,367
505,12.2,3727,454,28,302
478,7.6,1163,88,48,429
365,5.0,1917,95,7,144
4,10.3,3481,359,66,583
468,10.8,1752,189,23,225
600,7.0,2905,204,18,314
781,8.8,990,87,20,183
994,15.3,2325,355,37,308
118,9.5,811,77,29,150
1,15.8,4771,753,54,591
85,9.7,2094,204,34,301
467,11.2,1440,161,19,184
665,14.6,989,144,15,186
671,26.3,1377,362,55,370
660,14.6,1700,249,7,159
826,5.7,3158,181,28,212
768,11.8,1333,157,44,372
510,7.3,2734,199,47,549
785,24.7,734,181,19,187
591,5.7,1309,74,51,431
412,11.6,1080,125,32,285
931,12.4,1383,171,4,100
126,11.4,2655,302,61,378
712,8.4,2608,219,34,282
602,20.5,1269,260,17,195
312,16.2,2341,379,10,183
448,6.2,939,58,36,242
521,13.5,3263,440,31,348
760,9.6,3210,308,41,369
507,14.7,2462,362,23,303
73,12.2,2910,356,37,422
593,17.3,3338,579,41,404
163,3.6,1211,43,6,88
318,14.4,1713,247,36,347
544,3.9,2464,95,24,393
947,10.8,2975,320,32,312
812,15.7,1883,296,22,285
55,10.0,1943,194,67,498
543,6.2,4202,260,93,733
498,21.1,1045,221,24,222
374,4.2,1801,76,9,152
977,13.2,3488,460,50,458
427,12.7,3671,465,20,292
269,18.2,969,176,50,382
441,14.0,1716,240,36,259
223,9.5,4730,449,69,727
589,9.4,1643,155,17,219
385,23.5,1501,353,69,425
153,13.3,1811,240,29,258
37,20.2,1851,373,20,274
461,9.6,1202,115,18,149
691,13.4,2503,335,30,421
716,23.6,2655,627,53,543
360,12.2,2367,289,11,175
1000,13.3,2666,355,23,243
713,8.3,2275,189,36,285
601,12.4,2307,286,60,498
797,22.8,1055,241,48,281
258,11.0,2528,279,32,309
13,20.0,2923,585,23,302
913,8.8,2200,193,21,327
290,8.3,515,43,13,122
604,21.8,1834,399,37,376
897,16.8,2324,390,13,177
95,12.6,667,84,31,202
51,17.3,2449,424,41,397
758,13.1,1954,255,29,290
635,14.8,2860,422,39,415
770,30.1,635,191,21,191
811,13.0,2809,365,32,303
872,16.1,2656,427,34,391
196,8.5,2011,170,61,525
242,14.2,1862,265,57,299
572,22.9,1604,368,34,280
563,10.6,2490,263,32,365
14,19.7,2491,490,30,306
327,16.0,1340,215,11,179
356,4.7,1404,66,40,358
42,8.4,843,71,25,281
97,6.0,977,59,19,138
489,3.1,937,29,60,557
132,12.9,1049,135,8,151
637,8.9,3942,352,76,636
861,15.1,3501,528,57,503
492,12.7,1795,228,19,269
466,13.1,1496,196,16,186
264,18.9,1279,242,31,264
219,21.3,6031,1287,119,1092
486,13.2,1306,172,41,339
964,18.5,1830,339,67,368
1003,13.3,2552,339,15,260
54,11.7,1850,216,49,441
140,10.2,617,63,21,162
727,13.9,1613,225,32,321
234,14.2,2658,378,38,377
419,23.4,2240,524,40,356
465,19.2,1273,244,13,195
801,16.9,2453,415,57,445
585,15.4,1607,247,24,247
714,10.7,2112,225,52,380
506,22.6,4395,994,108,894
953,18.5,1969,364,27,303
350,4.5,2570,116,18,183
961,15.9,1976,315,41,287
302,15.1,3201,482,41,485
457,2.7,1612,44,8,131
734,12.4,3594,446,18,277
986,16.2,4274,694,61,717
787,9.6,1379,133,11,163
257,7.4,2673,197,13,174
798,8.1,1017,82,44,258
121,14.7,2116,310,30,281
552,19.1,1851,353,18,263
522,14.5,3550,515,72,560
818,16.7,1490,249,57,340
775,8.8,999,88,27,267
