,Accuracy,Hits,DMG_Get
74,6.1,116,226
603,14.2,400,365
965,11.1,206,299
867,10.6,300,551
194,13.4,234,560
16,17.8,335,380
27,14.3,214,305
84,12.7,255,282
348,10.6,145,225
44,20.0,316,240
270,13.3,159,357
310,6.8,159,301
909,12.6,469,326
769,5.4,114,382
379,21.1,785,855
517,6.8,138,263
584,12.1,262,207
849,44.9,280,191
636,9.1,249,317
387,11.3,199,461
810,15.7,327,267
273,17.8,327,246
684,1.2,17,262
820,13.2,275,542
409,15.2,275,345
282,16.3,171,188
304,14.2,463,504
679,9.8,237,170
288,7.6,67,128
692,10.5,306,453
997,3.0,58,272
159,14.5,157,374
6,14.9,311,181
654,8.0,298,320
491,13.9,470,296
903,12.6,206,401
866,13.8,370,585
251,12.6,273,222
721,14.8,552,293
912,13.6,398,480
198,5.5,118,474
880,11.5,127,263
319,7.2,105,251
560,20.0,364,414
515,10.9,188,232
222,10.7,608,841
80,7.3,100,366
471,13.2,68,163
280,35.9,235,143
975,13.2,325,288
197,12.1,148,650
70,22.4,360,454
386,19.6,249,333
375,27.5,1491,890
173,13.4,198,203
246,23.5,206,126
71,11.1,241,262
885,13.1,235,229
901,9.0,306,286
89,25.4,208,283
1010,9.7,298,607
437,20.4,337,249
324,19.7,194,127
520,15.3,689,563
45,28.0,237,221
321,17.4,299,229
367,4.0,103,298
625,22.6,396,657
644,15.1,558,590
275,20.3,176,282
607,17.7,377,486
596,11.1,418,399
815,8.8,244,417
981,11.1,157,601
23,19.7,311,367
184,21.0,370,447
530,19.0,538,371
836,11.1,106,119
922,13.6,131,82
215,8.6,103,263
586,18.2,214,235
858,16.9,549,444
983,25.9,673,596
172,17.2,183,171
154,18.5,198,253
171,18.5,296,261
860,22.3,553,523
91,15.3,225,308
715,25.0,580,459
261,10.3,259,347
853,10.9,307,395
695,15.3,621,301
305,14.8,464,525
688,12.2,330,288
494,12.6,210,342
808,21.6,394,344
8,22.7,328,344
415,11.4,71,239
103,18.2,611,504
813,12.3,371,407
950,9.1,119,210
837,13.1,97,130
262,14.4,247,427
60,19.0,209,315
35,15.2,607,281
183,16.6,321,307
433,18.9,303,258
871,14.3,479,427
286,9.9,75,119
764,13.6,337,295
594,15.6,596,477
354,7.2,74,234
207,5.3,46,252
788,8.7,144,182
705,21.6,302,157
