,Rating,Accuracy,Shot fired,Hits,Deaths,DMG_Get
252,54.4,17.90%,1826,327,27,277
253,26.7,14.80%,1260,187,36,332
254,20.5,10.30%,767,79,26,154
255,6.3,4.80%,376,18,19,152
256,65,18.40%,1934,355,25,290
257,54.2,7.40%,2673,197,13,174
258,47.7,11.00%,2528,279,32,309
259,40.3,14.80%,1769,262,35,334
260,38.7,8.50%,1696,145,17,175
261,32.1,10.30%,2523,259,42,347
262,28.4,14.40%,1715,247,49,427
263,77.5,14.70%,2162,318,31,290
264,65.8,18.90%,1279,242,31,264
265,54.4,15.70%,1316,206,31,279
266,50.4,16.60%,1328,220,35,277
267,44.8,19.60%,1305,256,61,457
268,43.7,15.50%,930,144,25,221
269,39.4,18.20%,969,176,50,382
270,35.3,13.30%,1195,159,49,357
271,23.3,13.60%,953,130,52,392
272,21.1,11.30%,1097,124,50,395
273,79,17.80%,1841,327,44,246
274,77.7,25.80%,1859,480,79,425
275,39.1,20.30%,868,176,56,282
276,38.5,14.60%,1278,187,52,274
277,27.6,10.70%,1588,170,61,356
278,27,20.60%,630,130,47,292
279,22.8,13.60%,697,95,43,248
280,93.5,35.90%,655,235,9,143
281,46,19.80%,921,182,17,183
282,40,16.30%,1046,171,18,188
283,26.9,9.50%,935,89,12,130
284,20.8,3.80%,1221,47,5,80
285,84.7,17.60%,618,109,9,99
286,49.9,9.90%,755,75,14,119
287,31.8,6.70%,864,58,11,98
288,31.8,7.60%,883,67,14,128
289,26.8,6.80%,753,51,14,125
290,24.2,8.30%,515,43,13,122
291,137.2,23.80%,1277,304,10,108
292,109.5,25.70%,1890,486,16,223
293,44.9,14.50%,1620,235,15,224
294,40.5,13.80%,1293,178,17,186
295,20.1,7.60%,2015,153,24,292
296,18.8,8.20%,1496,123,24,253
297,1,0.90%,690,6,20,199
298,99.1,21.40%,6021,1286,55,617
299,87.9,26.80%,4130,1105,63,643
300,44.3,11.80%,4371,516,41,479
301,43.2,14.70%,2906,426,26,424
302,43,15.10%,3201,482,41,485
303,41,14.80%,3206,473,44,497
304,39.2,14.20%,3255,463,40,504
305,38.1,14.80%,3136,464,43,525
306,33.4,13.00%,3307,429,47,539
307,30.8,14.00%,2043,285,29,394
308,28.4,13.00%,1865,243,28,358
309,22.9,10.10%,3435,348,77,607
310,19.9,6.80%,2328,159,24,301
311,15.4,7.60%,2709,206,59,512
312,90.9,16.20%,2341,379,10,183
313,53.4,15.40%,2132,328,31,267
314,51.2,14.50%,2351,342,30,286
315,41.6,12.90%,1779,229,23,230
316,39.7,18.80%,1203,226,28,260
317,38.7,14.90%,1873,279,37,311
318,30.5,14.40%,1713,247,36,347
319,15.9,7.20%,1462,105,25,251
320,66.2,19.70%,1634,322,20,225
321,58.4,17.40%,1719,299,20,229
322,28,9.00%,1486,133,16,186
323,19.3,8.60%,1298,112,29,226
324,70.4,19.70%,984,194,7,127
325,57.5,10.20%,1650,169,5,117
326,57.4,12.80%,1568,200,15,145
327,52.6,16.00%,1340,215,11,179
328,23.6,12.70%,1079,137,29,242
329,17.9,10.10%,850,86,14,191
330,129.5,23.50%,4071,957,24,361
331,98.9,22.10%,4255,940,45,456
332,82.7,29.40%,2716,798,58,510
333,72,21.50%,2606,559,35,369
334,46.7,14.30%,3611,515,58,472
335,25,14.60%,2135,311,61,534
336,24.7,8.50%,2972,254,39,400
337,7.8,4.10%,1405,58,22,266
338,7.2,4.90%,1885,93,49,475
339,7.1,4.90%,1445,71,30,366
340,4.8,3.60%,1506,54,43,401
341,140.2,38.40%,1488,571,21,239
342,132.5,27.10%,1847,500,21,193
343,109.7,24.50%,1561,382,14,172
344,105.8,25.60%,2227,569,30,270
345,91.6,20.00%,1896,379,14,192
346,78.6,21.20%,2026,429,27,258
347,53,15.90%,2089,333,28,275
348,25.9,10.60%,1366,145,21,225
349,24.1,11.30%,1015,115,16,194
350,22.9,4.50%,2570,116,18,183
351,21.4,8.50%,1145,97,18,176
352,19,8.70%,1584,138,28,283
353,14.8,12.20%,762,93,32,259
354,12,7.20%,1022,74,25,234
355,9.8,6.70%,1056,71,36,274
356,6.7,4.70%,1404,66,40,358
357,4.5,3.80%,877,33,28,260
358,1,0.20%,852,2,6,68
359,71.7,10.00%,4213,421,19,234
360,68.1,12.20%,2367,289,11,175
361,67.5,23.90%,619,148,13,107
362,50.4,15.50%,2351,365,39,315
363,39.2,13.80%,1863,258,29,279
364,29.8,7.10%,2023,144,15,183
365,24,5.00%,1917,95,7,144
366,21.4,6.50%,1802,117,19,205
367,12.4,4.00%,2548,103,32,298
368,75.6,12.60%,1147,145,4,79
369,74.8,16.60%,1259,209,9,123
370,55.7,14.90%,1472,219,17,169
371,34.2,17.90%,811,145,25,191
372,30.9,11.00%,944,104,11,136
373,21.3,5.80%,1144,66,12,114
374,17.9,4.20%,1801,76,9,152
375,86.5,27.50%,5422,1491,88,890
376,57.5,22.70%,3465,785,71,661
377,56.5,16.40%,6746,1109,70,868
378,51.9,14.40%,7101,1022,73,844
379,43.5,21.10%,3716,785,94,855
380,42,22.90%,3999,914,103,1056
381,19.9,7.50%,5739,430,92,828
382,16.3,5.90%,7076,415,114,949
383,77,20.20%,1814,367,34,288
384,69.2,20.30%,1821,369,45,321
385,54.4,23.50%,1501,353,69,425
386,42.2,19.60%,1268,249,42,333
387,25.6,11.30%,1755,199,69,461
388,22.6,12.10%,1583,192,73,453
389,62.7,15.40%,1279,197,14,136
390,53.5,17.50%,902,158,17,132
391,36.3,13.10%,1294,170,33,196
392,24.9,11.00%,891,98,26,159
393,147.2,20.50%,4193,861,24,274
394,60.6,8.00%,3330,268,14,170
395,18.3,4.60%,3350,154,31,306
396,17.8,5.60%,1581,89,20,184
397,14.5,4.10%,2834,117,32,291
398,9,6.40%,1314,84,38,348
399,65.7,25.00%,1570,393,33,370
400,63.2,19.10%,1274,243,25,206
401,39.8,14.40%,1316,189,25,215
402,39.2,13.00%,1951,253,36,324
403,19.7,8.10%,1687,136,32,279
404,84.5,22.10%,2344,517,46,359
405,77,14.80%,2583,383,22,244
406,72.1,18.00%,1873,337,38,271
407,46.2,12.80%,1899,244,37,250
408,36.4,15.40%,1845,284,53,387
409,35.8,15.20%,1811,275,56,345
410,32.8,15.20%,1587,242,53,374
411,25.5,11.10%,1481,165,44,293
412,22.7,11.60%,1080,125,32,285
413,17.7,9.20%,1369,126,47,304
414,188.3,34.50%,737,254,12,123
415,28.5,11.40%,622,71,32,239
416,24.7,13.60%,287,39,20,174
417,11.7,4.30%,440,19,10,106
418,7.9,5.00%,456,23,22,178
419,84.6,23.40%,2240,524,40,356
420,60.1,20.00%,1909,381,50,397
421,50.9,17.70%,2351,417,47,459
422,48.2,25.50%,1333,340,52,444
423,36.9,11.80%,1876,221,37,342
424,33.7,21.00%,1300,273,67,503
425,17.2,11.50%,1303,150,69,513
426,70.3,18.80%,2843,535,31,348
427,66.3,12.70%,3671,465,20,292
428,35.3,16.30%,1593,259,30,323
429,27.9,15.50%,1250,194,30,303
430,20.6,11.90%,1578,187,46,374
431,87.3,18.00%,1437,258,15,133
432,80.8,14.40%,2207,318,16,168
433,53.7,18.90%,1605,303,27,258
434,36.2,16.00%,1491,238,47,288
435,26.4,18.80%,989,186,41,322
436,19.1,7.30%,1839,135,33,269
437,78.3,20.40%,1652,337,29,249
438,77.5,21.70%,1945,423,52,356
439,71.1,18.10%,1891,343,32,272
440,54.4,19.50%,1551,302,43,328
441,49.7,14.00%,1716,240,36,259
442,48.9,14.60%,2007,293,49,311
443,35,14.10%,1797,254,60,393
444,33.2,16.00%,1057,169,43,277
445,22.6,8.10%,1439,116,35,264
446,19,9.60%,977,94,35,250
447,14.6,2.60%,3465,89,31,225
448,11.9,6.20%,939,58,36,242
449,124.1,15.30%,4472,684,14,239
450,98,8.80%,2044,180,3,71
451,50.6,17.90%,2111,378,35,337
452,42.6,13.00%,2256,294,34,289
453,39.4,10.60%,3034,323,25,330
454,24.1,5.10%,2745,141,13,214
